file,chapter,scene,note
worldbuilding/CULTURE/ANDEAN-FOLKLORE.md,15B,scene1,"breath terrace description; condor feather amplifier mechanic; pachamama shard cautionary myth"
worldbuilding/CULTURE/ANDEAN-FOLKLORE.md,15B,scene3,"seed stabilizer lore — feather as amplifier; Condor King offense on stolen feather"
worldbuilding/MAGIC-SYSTEM/RESONANCE-CRYSTALS.md,15B,scene1,"crystal resonance in greenhouse frames; blue-white sheen on facets when hummed"
worldbuilding/MAGIC-SYSTEM/RESONANCE-CRYSTALS.md,47B,scene2,"beast-kin language references; Siru's framework for reciprocal obligation as crystal-equivalent"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,22B,scene1,"binding protocol — MU constraints; Registry monitoring of combat magic vs domestic magic"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,22,full,"containment designation protocol; binding triggers on intent+magnitude"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,47,full,"Kaelen's plant network as distributed consciousness; Covenant blind spot on non-individual magic"
worldbuilding/CULTURE/ANDEAN-FOLKLORE.md,47B,scene2,"reciprocal obligation concept parallels Andean ayni principles"
culture/synthesis-framework.md,22B,scene1,"synthesis-magic methodology under Heresy Trial; defense preparation reference"
culture/synthesis-framework.md,17B,scene1,"Kaelen/Aisen synthesis-magic research as trial target"
worldbuilding/CULTURE/ANDEAN-FOLKLORE.md,26B,scene2,"terrace farming context for village economy; Verdein's Crossing as provincial agricultural node"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,29B,full,"no direct magic — scene is institutional/economic; magic absent by design to show mundane lethality"
worldbuilding/CULTURE/ANDEAN-FOLKLORE.md,33B,scene1,"Northern House governance architecture; Aldric Compact as bilateral treaty mechanism"
worldbuilding/MAGIC-SYSTEM/RESONANCE-CRYSTALS.md,17B,scene2,"Academy annex structural modifications; crystal resonance in building assessment"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,14B,full,"Kael's intelligence dead-drop chain; no magic — operational intelligence tradecraft"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,19B,full,"deployment authorization; MU not relevant — scene is institutional bureaucracy"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,20B,full,"courier magic implied (sealed token); low-MU signal magic"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,21B,full,"Rin's archive intercept — information magic; pattern recognition without direct MU cost"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,31B,scene1,"force geometry — Vex's structural analysis; MU-free engineering observation"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,39B,full,"architecture of absence — Vex tracing what was removed rather than what was built"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,46,full,"Aisen death — MU depletion; relay sacrifice; 120 MU drained in last stand"
worldbuilding/MAGIC-SYSTEM/HARD-MAGIC-RULES.md,45,full,"HQ assault — MU accounting needed for Serath's tactical deployment"
