Chapter,File,AgeRaw,Notes
1,story/Chapter-01-The-Tavern-Opens.md,5,
2,story/Chapter-02-Caspians-First-Visit.md,5,
3,story/Chapter-03-The-Robbery.md,8,"Outcome recorded as character-driven; randomness removed"
4,story/Chapter-04-Haralds-Training-Oath.md,10,
5,story/Chapter-05-Elaras-Ambush-and-Care.md,"7-8 / 10+","Ambiguous: encounter vs reflection"
6,story/Chapter-06-Tarovin-Candle-Demonstration.md,6,
7,story/Chapter-07-Winter-Snow-and-Caspian.md,8,
8,story/Chapter-08-Kaelen-Flower-Grove.md,"11 (Kaelen), 11 (Aisen)",
9,story/Chapter-09-Tarovin-Formal-Apprenticeship.md,13,
10,story/Chapter-10-Corvin-Glimpsed-at-Border.md,11,
11,story/Chapter-11-First-Synthesis-Moment.md,14,
12,story/Chapter-12-The-Amara-Caravan-Meeting.md,12,
13,story/Chapter-13-Academy-Arrival.md,17,
14,story/Chapter-14-Kaelen-at-Academy.md,13-14,
15,story/Chapter-15-Rins-Secret-Mission.md,16-17,
16,story/Chapter-16-Opportunity-Assembly.md,17,
17,story/Chapter-17-First-LimitBreak-Witness.md,Academy Student,"Non-specific"
18,story/Chapter-18-Aisens-Chain-Weapon-Testing.md,17,
19,story/Chapter-19-The-Library-Discovery.md,"Master Tholen 40s; Aisen 18","Mixed POV ages"
20,story/Chapter-20-Kaelen-Rin-Garden-Meeting.md,"Kaelen 14; Rin 17","Multi-POV"
21,story/Chapter-21-The-Refugee-Crisis-Report.md,Various,
22,story/Chapter-22-Naia-Limit-Break.md,Early 30s,
23,story/Chapter-23-The-Mysterious-Professor.md,18,
24,story/Chapter-24-Amaras-Intelligence-Report.md,18-19,
25,story/Chapter-25-The-Approaching-Tide.md,19-20,
26,story/Chapter-26-Conscription-Separation.md,20,
27,story/Chapter-27-Border-Camp-Reality.md,20,
28,story/Chapter-28-Corvins-Presence.md,"~44",NPC
29,story/Chapter-29-Refugee-Village-Burning.md,Various,
30,story/Chapter-30-Communication-Through-Channels.md,20-21,
31,story/Chapter-31-First-Anti-Covenant-Action.md,21,
32,story/Chapter-32-Varros-Warning.md,Indeterminate (regressed),Flag
33,story/Chapter-33-The-Archive-Revelation.md,"40s / 22","Mixed POV"
34,story/Chapter-34-The-Ritual-Discovery.md,Young servant,Flag
35,story/Chapter-35-Information-Explosion.md,22-23,
36,story/Chapter-36-Covenant-Counter-Strike.md,Variable,Flag
37,story/Chapter-37-The-Academy-Purge.md,18-19,
38,story/Chapter-38-The-Mentors-Sacrifice.md,"50s / 22","Mixed POV"
39,story/Chapter-39-Covenant-Headquarters-Confrontation.md,24,
40,story/Chapter-40-Seraphines-Isolation.md,"~800",NPC
41,story/Chapter-41-Caspians-Choice.md,"~40 apparent",NPC
42,story/Chapter-42-Corvins-Reckoning.md,"~44",NPC
43,story/Chapter-43-Varros-Fragmented-Truth.md,Indeterminate,Flag
44,story/Chapter-44-The-Death-Immediate-Aftermath.md,24,
45,story/Chapter-45-The-Network-Reconvenes.md,24+,
46,story/Chapter-46-Refugees-Hear-of-Aisens-Death.md,Various,
47,story/Chapter-47-Amara-Keeper.md,25,
48,story/Chapter-48-Kaelens-Garden.md,Mid 20s,
49,story/Chapter-49-Elaras-Ruling.md,30s,
50,story/Chapter-50-Final-Micro-Scene-Recurrence.md,Various,
51,story/Chapter-51-The-World-Years-Later.md,Several years later,Post-war
52,story/Chapter-52-Final-Coda.md,Next generation,Epilogue
