"Path","LineNumber","Match"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\INDEX.md","77","| **RELATORIO_CAPACIDADE_METODOLOGIA.md** (PT) | Methodology capacity assessment | Government, technical teams |"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","1","# Technical Debt & TODO Inventory"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","6","- Repository scan found ~200 markers (TODO/TBD/DRAFT/FIXME/INCOMPLETE) across code and documentation."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","10","- Audit & close false-positives: files that declare ""DRAFT/TBD"" but have implemented code (e.g., dashboard, MCDA, LCOE)."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","24","Select-String -Path 'Full project\**\*.*' -Pattern 'TODO|TBD|DRAFT|FIXME|INCOMPLETE' -SimpleMatch |"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","33","- Auto-generate a prioritized file-by-file TODO list (High/Medium/Low) from the CSV."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md","36","If you want, I will now run the repository search and generate `docs/technical_debt_matches.csv` and a prioritized TODO file."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","3","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\Coding parts\geesp-angola\PHASE1_COMPLETION_REPORT.md,265,TBD"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","4","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\ROOT_DOCS\EXECUTION_PACKAGE_COMPLETE_INDEX.md,190,Draft the 5 core files (MINEA, SOL.tex, GANNT, Risk, Baseline, Funding)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","5","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\docs\CHECKLIST_CONCLUSAO_PROJETO.md,68,Secção 1C: Documentação & Metodologia"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","6","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\docs\CHECKLIST_CONCLUSAO_PROJETO.md,74,Manual Metodologia (SOP) | ⚠️ | 25 fev | Rocélio | Rascunho 40%"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","7","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\docs\CHECKLIST_CONCLUSAO_PROJETO.md,75,Plano de Qualidade (QA Plan) | ⚠️ | 20 fev | QA Lead | Draft 60%"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","8","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\docs\CHECKLIST_CONCLUSAO_PROJETO.md,109,15 ITEMS CRÍTICOS → Todos devem estar ✅ ou ⚠️ (90%+)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","9","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,23,em Angola: Uma Metodologia Geoespacial MCDA-GIS com Estudo de Caso na Huíla"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","10","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,41,Rigor Metodológico: O uso do Analytic Hierarchy Process (AHP) com razão de"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","11","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,44,cenários mantêm o ranking) demonstra robustez metodológica."
