Chapter,File,AgeRaw,CanonicalAge,Notes,NormalizedFrom
1,story/Chapter-01-The-Tavern-Opens.md,5,"Aisen: 5","Anchor early childhood","front-matter"
2,story/Chapter-02-Caspians-First-Visit.md,5,"Aisen: 5","","front-matter"
3,story/Chapter-03-The-Robbery.md,8,"Aisen: 8","Outcome recorded as character-driven (no formal randomness)","front-matter + in-text"
4,story/Chapter-04-Haralds-Training-Oath.md,10,"Aisen: 10","","front-matter"
5,story/Chapter-05-Elaras-Ambush-and-Care.md,"7-8 / 10+","Aisen: 10 (present); encounter flashback: Aisen 7-8","Two timeframes in chapter — canonicalized to present narration","front-matter + character-bible"
6,story/Chapter-06-Tarovin-Candle-Demonstration.md,6,"Aisen: 6","","front-matter"
7,story/Chapter-07-Winter-Snow-and-Caspian.md,8,"Aisen: 8","","front-matter"
8,story/Chapter-08-Kaelen-Flower-Grove.md,"11 (Kaelen), 11 (Aisen sees)","Aisen: 11; Kaelen: 11","Multi-POV — both listed","front-matter"
9,story/Chapter-09-Tarovin-Formal-Apprenticeship.md,13,"Aisen: 13","","front-matter"
10,story/Chapter-10-Corvin-Glimpsed-at-Border.md,11,"Aisen: 11; Corvin: 11 (appearance)","Chapter focuses on border sighting — recorded age kept","front-matter"
11,story/Chapter-11-First-Synthesis-Moment.md,14,"Aisen: 14","","front-matter"
12,story/Chapter-12-The-Amara-Caravan-Meeting.md,12,"Aisen: 12; Amara: 12","","front-matter"
13,story/Chapter-13-Academy-Arrival.md,17,"Aisen: 17","Academy arrival anchor","front-matter"
14,story/Chapter-14-Kaelen-at-Academy.md,"13-14","Kaelen: 14","Normalized to upper bound consistent with Kaelen profile","front-matter + Kaelen bio"
15,story/Chapter-15-Rins-Secret-Mission.md,"16-17","Rin: 17","Normalized to upper bound","front-matter"
16,story/Chapter-16-Opportunity-Assembly.md,17,"Aisen: 17","","front-matter"
17,story/Chapter-17-First-LimitBreak-Witness.md,Academy Student,"Academy Student: ~18","Non-specific student; canonicalized to typical academy student age","front-matter + academy profile"
18,story/Chapter-18-Aisens-Chain-Weapon-Testing.md,17,"Aisen: 17","Training/testing sequence at academy","front-matter"
19,story/Chapter-19-The-Library-Discovery.md,"Master Tholen 40s; Aisen 18","Aisen: 18; Master Tholen: 45","Mixed POV ages — Tholen rounded to 45 for reference","front-matter + Tholen notes"
20,story/Chapter-20-Kaelen-Rin-Garden-Meeting.md,"Kaelen 14; Rin 17","Kaelen: 14; Rin: 17","Multi-POV — preserved","front-matter"
21,story/Chapter-21-The-Refugee-Crisis-Report.md,Various,"Various: multiple ages","Ensemble chapter — ages vary; no single canonical age","front-matter"
22,story/Chapter-22-Naia-Limit-Break.md,Early 30s,"Naia: 32","NPC adult — canonicalized to 32","front-matter"
23,story/Chapter-23-The-Mysterious-Professor.md,18,"Aisen: 18","Investigation chapter; Aisen age consistent with academy timeline","front-matter"
24,story/Chapter-24-Amaras-Intelligence-Report.md,18-19,"Amara: 19","Normalized to 19 per Amara profile","front-matter + Amara bio"
25,story/Chapter-25-The-Approaching-Tide.md,19-20,"Aisen: 20","Normalized to 20 (pre-conscription)","front-matter"
26,story/Chapter-26-Conscription-Separation.md,20,"Aisen: 20","Conscription age — canonical","front-matter"
27,story/Chapter-27-Border-Camp-Reality.md,20,"Aisen: 20","Border camp sequence — canonical","front-matter"
28,story/Chapter-28-Corvins-Presence.md,"~44","Corvin: 44","NPC approximate age — preserved","front-matter"
29,story/Chapter-29-Refugee-Village-Burning.md,Various,"Various: multiple ages","Ensemble — no single canonical age","front-matter"
